Wall time,Step,Value
1638298330.7666345,0,-118.02537536621094
1638298331.3808682,1,-169.9892120361328
1638298331.9535599,2,-119.76668548583984
1638298332.540737,3,-125.96224212646484
1638298333.1197348,4,-123.5267105102539
1638298333.6777842,5,-114.60380554199219
1638298334.2623086,6,-109.45075988769531
1638298334.8302083,7,-85.20448303222656
1638298335.4099371,8,-175.5023193359375
1638298335.9912426,9,-138.97784423828125
1638298336.5763223,10,-129.03736877441406
1638298337.1594975,11,-94.50963592529297
1638298337.7497146,12,-123.2374038696289
1638298338.3516507,13,-139.1491241455078
1638298338.9210556,14,-123.9136734008789
1638298339.5009277,15,-80.67247772216797
1638298340.074973,16,-115.18609619140625
1638298340.6415606,17,-80.46151733398438
1638298341.2147548,18,-100.7763671875
1638298341.804739,19,-157.45703125
1638298342.3968737,20,-118.0619125366211
1638298343.8069649,21,-33.44020462036133
1638298344.3895063,22,-110.07717895507812
1638298344.9755642,23,-83.7685546875
1638298345.6155858,24,-101.72599029541016
1638298346.276618,25,-85.92915344238281
1638298346.8688378,26,-111.78524780273438
1638298347.4528794,27,-58.967838287353516
1638298348.0432303,28,-102.45840454101562
1638298349.8697731,29,73.9603042602539
1638298350.601822,30,-77.23702239990234
1638298351.2885308,31,-103.9527359008789
1638298351.9045193,32,-69.346923828125
1638298352.5196502,33,-47.41339111328125
1638298353.114893,34,-38.99808120727539
1638298353.755833,35,-74.64676666259766
1638298354.3865852,36,-48.23866271972656
1638298355.4686654,37,7.563241004943848
1638298356.9738235,38,-32.70269012451172
1638298357.5719213,39,-57.62019348144531
1638298358.1855536,40,-44.00370407104492
1638298358.7993398,41,-52.56614303588867
1638298361.606761,42,27.468399047851562
1638298362.306726,43,16.70669937133789
1638298362.9651184,44,-18.889842987060547
1638298363.7532237,45,-22.20170783996582
1638298364.515552,46,-5.84918212890625
1638298366.1246154,47,0.6040252447128296
1638298366.9796574,48,-129.5821075439453
1638298369.2871168,49,11.741490364074707
1638298369.9655893,50,-42.33300018310547
1638298371.0376053,51,-144.2528839111328
1638298371.9754,52,-46.36400604248047
1638298374.1116228,53,-18.027610778808594
1638298375.2636435,54,17.579586029052734
1638298376.243513,55,-89.84873962402344
1638298378.1584795,56,23.054187774658203
1638298379.6620162,57,-2.603641986846924
1638298380.4476216,58,-91.32759857177734
1638298381.9862497,59,-49.60342025756836
1638298383.579358,60,-9.079476356506348
1638298384.8664527,61,-73.98223114013672
1638298386.652253,62,16.58098602294922
1638298388.6468298,63,-2.7562763690948486
1638298389.475658,64,-22.253236770629883
1638298391.4716725,65,87.57650756835938
1638298393.129262,66,-49.74642562866211
1638298394.9542813,67,-66.10736083984375
1638298395.845637,68,-83.84923553466797
1638298398.2848818,69,-12.189711570739746
1638298400.6398754,70,4.943660259246826
1638298401.3545105,71,-140.74923706054688
1638298402.4235222,72,-104.00798034667969
1638298403.1121035,73,-136.1268768310547
1638298403.9196897,74,-161.8849639892578
1638298404.726693,75,-129.2671661376953
1638298405.489787,76,-138.03199768066406
1638298406.4307876,77,-118.85306549072266
1638298408.0000873,78,-67.21989440917969
1638298409.0177581,79,-96.10057067871094
1638298410.8906574,80,-26.33732032775879
1638298411.8842764,81,-130.66680908203125
1638298412.9784105,82,-112.80652618408203
1638298413.8819246,83,-92.21550750732422
1638298415.906848,84,30.976726531982422
1638298416.820985,85,-89.4181137084961
1638298417.7896578,86,-86.10358428955078
1638298419.197986,87,34.181053161621094
1638298421.4295597,88,67.39299011230469
1638298423.692677,89,-7.05073881149292
1638298425.5637715,90,59.9626350402832
1638298427.8411481,91,37.59724807739258
1638298428.8853135,92,-140.58717346191406
1638298430.5360467,93,-8.086197853088379
1638298432.5095804,94,44.396968841552734
1638298433.8017547,95,55.889888763427734
1638298435.8818388,96,93.76107025146484
1638298438.271426,97,82.57698822021484
1638298440.2145193,98,21.115198135375977
1638298441.1155198,99,-111.54556274414062
1638298443.3308976,100,57.10151290893555
1638298445.0349734,101,12.366691589355469
1638298446.6730702,102,-76.9096908569336
1638298448.865324,103,71.30242919921875
1638298450.1698487,104,120.54680633544922
1638298452.1549084,105,42.416385650634766
1638298453.4675024,106,-28.838520050048828
1638298454.9940677,107,118.38497161865234
1638298456.2907763,108,9.667879104614258
1638298457.6919763,109,8.533671379089355
1638298459.4920273,110,43.63787078857422
1638298460.8515809,111,152.9214630126953
1638298462.1693263,112,36.97702407836914
1638298463.170341,113,-62.28974151611328
1638298465.0423336,114,43.46611022949219
1638298466.4339988,115,87.11315155029297
1638298468.1781886,116,56.23017120361328
1638298469.163188,117,113.4604721069336
1638298470.6247554,118,129.06939697265625
1638298471.667825,119,38.65653991699219
1638298473.3650174,120,103.964599609375
1638298475.5307014,121,124.3497543334961
1638298476.6107051,122,45.37515640258789
1638298477.966411,123,11.98185920715332
1638298479.1939056,124,12.477479934692383
1638298481.0036683,125,116.17678833007812
1638298482.4911995,126,102.0992660522461
1638298483.678961,127,145.1884307861328
1638298485.5850267,128,143.1251220703125
1638298486.975037,129,-55.73374938964844
1638298487.9881704,130,-38.517181396484375
1638298488.8531697,131,-45.61255645751953
1638298490.066667,132,126.25022888183594
1638298491.1512794,133,-28.04109764099121
1638298492.7709246,134,95.59239196777344
1638298494.0635402,135,67.4972152709961
1638298495.3515403,136,107.82173919677734
1638298496.4795835,137,143.6895751953125
1638298498.668349,138,73.10238647460938
1638298500.1906657,139,122.62825012207031
1638298501.9769685,140,31.481346130371094
1638298503.2709424,141,145.66229248046875
1638298504.6594713,142,109.79915618896484
1638298505.978548,143,128.60098266601562
1638298507.7102923,144,125.7909164428711
1638298508.818848,145,32.22222137451172
1638298510.4377034,146,17.826345443725586
1638298511.731442,147,149.03280639648438
1638298513.5316525,148,97.65061950683594
1638298514.5398018,149,25.12503433227539
1638298515.5968041,150,44.59770965576172
1638298516.5748935,151,59.96282958984375
1638298517.7548425,152,14.336807250976562
1638298519.4504077,153,147.04208374023438
1638298520.9183824,154,98.23451232910156
1638298522.268793,155,89.17755126953125
1638298523.4183753,156,36.90747833251953
1638298524.3099177,157,79.92414093017578
1638298525.3769202,158,137.4158477783203
1638298526.6730263,159,98.11956024169922
1638298528.3781006,160,145.4521026611328
1638298529.5571012,161,156.9787139892578
1638298531.1216676,162,141.03013610839844
1638298532.2600698,163,148.39720153808594
1638298533.1056266,164,50.941532135009766
1638298534.5938425,165,136.435302734375
1638298535.7699106,166,86.54864501953125
1638298536.9006865,167,147.15052795410156
1638298538.1427393,168,64.50946807861328
1638298539.5929124,169,153.13153076171875
1638298541.1774123,170,148.0558319091797
1638298542.4999094,171,144.26779174804688
1638298543.6905098,172,89.80403900146484
1638298545.6230922,173,142.5614471435547
1638298546.7131796,174,75.21174621582031
1638298547.8904595,175,92.15039825439453
1638298548.8560362,176,91.64530944824219
1638298549.6940384,177,56.62519073486328
1638298550.801277,178,139.03260803222656
1638298552.0136964,179,147.4803009033203
1638298552.9216957,180,45.97640609741211
1638298553.952282,181,174.51832580566406
1638298555.1107218,182,147.0892333984375
1638298556.6278174,183,141.77978515625
1638298557.828825,184,63.584434509277344
1638298559.0029166,185,191.1643524169922
1638298560.269372,186,117.25244140625
1638298561.3173723,187,189.3425750732422
